2018/12/26 02:25:01,19.4550108896,47.2710169509,1012.53911848
2018/12/29 18:15:01,13.1190558204,39.3767855271,1011.41716351
2018/12/29 18:20:02,13.0938540533,39.486522333,1011.42969773
2018/12/30 05:25:01,15.1856254756,58.9045524802,1015.37265544
2019/01/08 08:25:01,21.6830375435,44.6481283229,1013.6474421
2019/01/16 00:00:01,12.4436509798,44.823031804,1004.76809378
2019/01/21 01:30:01,22.1266333476,46.7363627454,1001.39705738
2019/01/30 17:30:02,14.8025503334,38.1959127555,1015.74529402
2019/01/30 17:35:01,14.8277525937,38.0554696972,1015.97963844
2019/01/30 18:15:01,14.6815795851,38.375658339,1016.1456961
2019/02/07 19:30:01,21.7788137195,53.338961257,999.327780929
2019/02/07 19:35:01,22.5349451138,52.9465933157,999.402771662
2019/02/07 19:40:01,22.9079723471,51.3253796827,999.570105529
2019/02/07 19:45:01,23.3515743748,50.376468779,999.546947698
2019/02/12 17:05:01,16.5969694519,45.8432277714,1018.42904478
2019/02/16 06:40:01,18.3763034811,48.7159077541,1005.16981663
2019/02/16 06:45:01,18.1746774066,48.9922331893,1005.27723189
2019/02/16 06:50:01,17.9780924324,48.9002536078,1005.22735888
2019/02/18 15:55:01,18.4569540413,40.5131962071,1017.77555811
2019/02/20 22:45:01,24.0623505041,47.300710201,1007.61608003
2019/02/22 05:10:02,19.540703171,46.4174156495,1015.77803293
2019/02/23 03:50:02,23.3767791031,56.159626241,1006.45644286
2019/02/23 03:55:01,23.3112468246,56.0700461081,1006.51512446
